id,plate,startts,endts,startlng,startlat,my_id
UCNFLW275VPLP,456548,7/26/18 8:50,7/26/18 8:55,-77.039974,38.901427,31633
UCNFLW275VPLP,456548,7/26/18 8:55,7/26/18 9:00,-77.043839,38.90154,31634
CMLYHIP5ENRRI,685452,7/26/18 19:30,7/26/18 19:35,-77.031532,38.917061,32049
SHH6WDDPPCMEY,727821,7/26/18 8:40,7/26/18 8:45,-77.046028,38.915793,32751
SHH6WDDPPCMEY,727821,7/26/18 12:45,7/26/18 12:50,-77.040611,38.905076,32752
SHH6WDDPPCMEY,727821,7/26/18 14:30,7/26/18 14:35,-77.038279,38.905647,32753
SHH6WDDPPCMEY,727821,7/26/18 16:05,7/26/18 16:10,-77.020643,38.89949,32754
SHH6WDDPPCMEY,727821,7/26/18 16:20,7/26/18 16:25,-77.019777,38.903582,32755
SHH6WDDPPCMEY,727821,7/26/18 17:25,7/26/18 17:30,-76.971931,38.874456,32756
PK2OOI4K6CO67,218813,7/26/18 18:10,7/26/18 18:15,-77.053489,38.897144,34466
TM2M53VUQDTO5,749220,7/26/18 8:25,7/26/18 8:30,-77.024506,38.902588,35462
TM2M53VUQDTO5,749220,7/26/18 15:40,7/26/18 15:45,-77.002307,38.879254,35463
XTVQY6RDEIF2Q,679300,7/26/18 8:20,7/26/18 8:25,-77.067069,38.90678,35836
EDYEGRFKMGYWH,637299,7/26/18 8:10,7/26/18 8:15,-76.995956,38.920022,37241
EDYEGRFKMGYWH,637299,7/26/18 8:15,7/26/18 8:20,-77.000597,38.917464,37242
EDYEGRFKMGYWH,637299,7/26/18 8:20,7/26/18 8:25,-77.003879,38.908617,37243
EDYEGRFKMGYWH,637299,7/26/18 8:50,7/26/18 8:55,-77.006222,38.902091,37244
EDYEGRFKMGYWH,637299,7/26/18 9:20,7/26/18 9:25,-77.021836,38.893503,37245
EDYEGRFKMGYWH,637299,7/26/18 9:50,7/26/18 9:55,-77.02329,38.894073,37246
EDYEGRFKMGYWH,637299,7/26/18 10:05,7/26/18 10:10,-77.026112,38.882482,37247
EDYEGRFKMGYWH,637299,7/26/18 10:10,7/26/18 10:15,-77.020787,38.876393,37248
EDYEGRFKMGYWH,637299,7/26/18 11:00,7/26/18 11:05,-77.024723,38.879974,37249
EDYEGRFKMGYWH,637299,7/26/18 11:10,7/26/18 11:15,-77.016346,38.876321,37250
EDYEGRFKMGYWH,637299,7/26/18 11:15,7/26/18 11:20,-77.009282,38.872051,37251
3LPKG7TWVEVC3,751583,7/26/18 11:40,7/26/18 11:45,-77.041439,38.90638,38294
3LPKG7TWVEVC3,751583,7/26/18 11:55,7/26/18 12:00,-77.041628,38.903638,38295
3LPKG7TWVEVC3,751583,7/26/18 12:15,7/26/18 12:20,-77.044813,38.905417,38296
3LPKG7TWVEVC3,751583,7/26/18 13:00,7/26/18 13:05,-77.008343,38.888562,38297
3LPKG7TWVEVC3,751583,7/26/18 13:05,7/26/18 13:10,-77.005802,38.888733,38298
3LPKG7TWVEVC3,751583,7/26/18 13:20,7/26/18 13:25,-77.014991,38.889031,38299
3LPKG7TWVEVC3,751583,7/26/18 13:35,7/26/18 13:40,-77.024498,38.889194,38300
3LPKG7TWVEVC3,751583,7/26/18 14:20,7/26/18 14:25,-77.023268,38.891741,38301
3LPKG7TWVEVC3,751583,7/26/18 14:25,7/26/18 14:30,-77.021002,38.890468,38302
3LPKG7TWVEVC3,751583,7/26/18 14:35,7/26/18 14:40,-77.032524,38.890239,38303
3LPKG7TWVEVC3,751583,7/26/18 14:45,7/26/18 14:50,-77.040947,38.889119,38304
3LPKG7TWVEVC3,751583,7/26/18 15:55,7/26/18 16:00,-77.0419,38.907233,38305
3LPKG7TWVEVC3,751583,7/26/18 16:30,7/26/18 16:35,-77.025683,38.920156,38306
3LPKG7TWVEVC3,751583,7/26/18 17:55,7/26/18 18:00,-77.006792,38.904667,38307
3LPKG7TWVEVC3,751583,7/26/18 18:25,7/26/18 18:30,-77.005911,38.904293,38308
PMIXQ6224D7MQ,453855,7/26/18 19:30,7/26/18 19:35,-77.045408,38.907263,38411
PMIXQ6224D7MQ,453855,7/26/18 19:35,7/26/18 19:40,-77.04891,38.909451,38412
PMIXQ6224D7MQ,453855,7/26/18 19:40,7/26/18 19:45,-77.048204,38.914338,38413
PMIXQ6224D7MQ,453855,7/26/18 20:05,7/26/18 20:10,-77.048783,38.902646,38414
QGCMXW7P5Z5D3,827333,7/26/18 15:00,7/26/18 15:05,-77.0641,38.908679,39097
QGCMXW7P5Z5D3,827333,7/26/18 15:35,7/26/18 15:40,-77.06212,38.90519,39098
QGCMXW7P5Z5D3,827333,7/26/18 15:45,7/26/18 15:50,-77.049178,38.905201,39099
QGCMXW7P5Z5D3,827333,7/26/18 16:25,7/26/18 16:30,-77.000753,38.886309,39100
XKK32BRLBYUEU,933729,7/26/18 10:15,7/26/18 10:20,-77.032659,38.914032,40018
HB54PT56AO7EI,670682,7/26/18 11:55,7/26/18 12:00,-77.02472,38.894094,41038
HB54PT56AO7EI,670682,7/26/18 13:30,7/26/18 13:35,-77.018859,38.881199,41039
HB54PT56AO7EI,670682,7/26/18 14:10,7/26/18 14:15,-77.024658,38.889285,41040
HB54PT56AO7EI,670682,7/26/18 14:15,7/26/18 14:20,-77.017463,38.885915,41041
HB54PT56AO7EI,670682,7/26/18 15:55,7/26/18 16:00,-77.016701,38.883233,41042
HB54PT56AO7EI,670682,7/26/18 16:10,7/26/18 16:15,-77.023228,38.888803,41043
HB54PT56AO7EI,670682,7/26/18 16:55,7/26/18 17:00,-77.031767,38.896215,41044
DMKZNMF64GLQP,938151,7/26/18 15:40,7/26/18 16:05,-76.982216,38.849373,41462
G6COEZIP63KI4,562069,7/26/18 6:40,7/26/18 6:45,-77.063522,38.902606,41943
G6COEZIP63KI4,562069,7/26/18 8:10,7/26/18 8:15,-77.062717,38.90225,41944
G6COEZIP63KI4,562069,7/26/18 8:25,7/26/18 8:30,-77.063522,38.902606,41945
G6COEZIP63KI4,562069,7/26/18 9:10,7/26/18 9:15,-77.063522,38.902606,41946
G6COEZIP63KI4,562069,7/26/18 9:25,7/26/18 9:30,-77.062585,38.902358,41947
G6COEZIP63KI4,562069,7/26/18 13:55,7/26/18 14:00,-77.061319,38.90227,41948
G6COEZIP63KI4,562069,7/26/18 14:15,7/26/18 14:20,-77.060421,38.902372,41949
G6COEZIP63KI4,562069,7/26/18 14:20,7/26/18 14:25,-77.059821,38.901109,41950
MFCMMYZUGYXR7,163936,7/26/18 6:15,7/26/18 6:20,-77.006253,38.896907,42483
MFCMMYZUGYXR7,163936,7/26/18 7:15,7/26/18 7:20,-77.028206,38.887748,42484
MFCMMYZUGYXR7,163936,7/26/18 13:25,7/26/18 13:30,-77.01503,38.887357,42485
MFCMMYZUGYXR7,163936,7/26/18 13:55,7/26/18 14:00,-77.033831,38.890161,42486
MFCMMYZUGYXR7,163936,7/26/18 15:05,7/26/18 15:10,-77.019661,38.892565,42487
MFCMMYZUGYXR7,163936,7/26/18 15:10,7/26/18 17:05,-77.022067,38.895772,42488
NEYX3SUKLYNCY,336432,7/26/18 11:30,7/26/18 11:35,-77.031888,38.896585,42772
NEYX3SUKLYNCY,336432,7/26/18 12:25,7/26/18 12:30,-77.01518,38.886955,42773
NEYX3SUKLYNCY,336432,7/26/18 14:00,7/26/18 14:05,-77.041589,38.890254,42774
NEYX3SUKLYNCY,336432,7/26/18 14:05,7/26/18 14:10,-77.048925,38.889098,42775
NEYX3SUKLYNCY,336432,7/26/18 14:50,7/26/18 14:55,-77.012292,38.892692,42776
NEYX3SUKLYNCY,336432,7/26/18 15:00,7/26/18 15:05,-77.000966,38.897762,42777
NEYX3SUKLYNCY,336432,7/26/18 17:35,7/26/18 17:40,-77.021035,38.881309,42778
NEYX3SUKLYNCY,336432,7/26/18 18:40,7/26/18 18:45,-77.017525,38.881483,42779
SCZMLZMEEJKY5,835544,7/26/18 8:45,7/26/18 8:50,-77.010473,38.898225,44356
SCZMLZMEEJKY5,835544,7/26/18 10:00,7/26/18 10:05,-77.037596,38.894815,44357
SCZMLZMEEJKY5,835544,7/26/18 10:20,7/26/18 10:25,-77.035403,38.890535,44358
SCZMLZMEEJKY5,835544,7/26/18 10:25,7/26/18 10:35,-77.023077,38.888718,44359
SCZMLZMEEJKY5,835544,7/26/18 11:00,7/26/18 11:05,-77.017794,38.88865,44360
SCZMLZMEEJKY5,835544,7/26/18 11:40,7/26/18 11:45,-77.033237,38.889494,44361
SCZMLZMEEJKY5,835544,7/26/18 11:50,7/26/18 11:55,-77.03713,38.889965,44362
SCZMLZMEEJKY5,835544,7/26/18 12:20,7/26/18 12:25,-77.04597,38.889868,44363
SCZMLZMEEJKY5,835544,7/26/18 12:55,7/26/18 13:00,-77.048759,38.889423,44364
SCZMLZMEEJKY5,835544,7/26/18 13:40,7/26/18 13:45,-77.036144,38.890358,44365
JN7GKUU5QRRJC,828668,7/26/18 12:25,7/26/18 12:30,-76.995824,38.920368,45264
JN7GKUU5QRRJC,828668,7/26/18 13:00,7/26/18 13:05,-77.002024,38.936164,45265
JN7GKUU5QRRJC,828668,7/26/18 15:40,7/26/18 15:45,-77.001689,38.94112,45266
JN7GKUU5QRRJC,828668,7/26/18 16:00,7/26/18 16:05,-77.00185,38.940853,45267
JN7GKUU5QRRJC,828668,7/26/18 16:05,7/26/18 16:10,-76.996251,38.936521,45268
JN7GKUU5QRRJC,828668,7/26/18 16:10,7/26/18 16:15,-77.001366,38.942626,45269
JN7GKUU5QRRJC,828668,7/26/18 16:45,7/26/18 16:50,-77.001977,38.942274,45270
JN7GKUU5QRRJC,828668,7/26/18 17:05,7/26/18 17:10,-77.001897,38.942224,45271
3V4UKYDF47SLD,487557,7/26/18 13:45,7/26/18 13:50,-76.991748,38.882551,45519
3V4UKYDF47SLD,487557,7/26/18 13:50,7/26/18 13:55,-76.995117,38.883944,45520
JQCGUMUB5X2DU,377329,7/26/18 13:55,7/26/18 14:00,-77.02143,38.889963,45847
JQCGUMUB5X2DU,377329,7/26/18 14:25,7/26/18 14:30,-77.039509,38.898687,45848
JQCGUMUB5X2DU,377329,7/26/18 14:55,7/26/18 15:00,-77.019957,38.894544,45849
JQCGUMUB5X2DU,377329,7/26/18 16:05,7/26/18 16:10,-77.020229,38.899346,45850
JQCGUMUB5X2DU,377329,7/26/18 19:05,7/26/18 19:10,-77.020309,38.881219,45851
JQCGUMUB5X2DU,377329,7/26/18 19:10,7/26/18 19:15,-77.017507,38.883538,45852
JQCGUMUB5X2DU,377329,7/26/18 19:30,7/26/18 19:35,-77.017309,38.883373,45853
4AL33DMIRRKZG,900098,7/26/18 8:35,7/26/18 8:40,-77.009051,38.899573,46392
4AL33DMIRRKZG,900098,7/26/18 8:45,7/26/18 8:50,-77.008393,38.912521,46393
4AL33DMIRRKZG,900098,7/26/18 11:00,7/26/18 11:05,-77.00827,38.913529,46394
4AL33DMIRRKZG,900098,7/26/18 11:10,7/26/18 11:15,-77.016193,38.903844,46395
4AL33DMIRRKZG,900098,7/26/18 11:15,7/26/18 11:20,-77.0155,38.897339,46396
4AL33DMIRRKZG,900098,7/26/18 14:05,7/26/18 14:10,-77.033019,38.89042,46397
4AL33DMIRRKZG,900098,7/26/18 14:20,7/26/18 14:25,-77.032137,38.885754,46398
4AL33DMIRRKZG,900098,7/26/18 15:00,7/26/18 15:05,-77.017468,38.887498,46399
GKADHLQ5DZWNL,637558,7/26/18 9:15,7/26/18 9:20,-77.048765,38.905102,48379
GKADHLQ5DZWNL,637558,7/26/18 12:05,7/26/18 12:10,-77.042145,38.895567,48380
GKADHLQ5DZWNL,637558,7/26/18 12:10,7/26/18 12:45,-77.043368,38.902089,48381
GKADHLQ5DZWNL,637558,7/26/18 13:15,7/26/18 13:20,-77.036495,38.898766,48382
GKADHLQ5DZWNL,637558,7/26/18 14:05,7/26/18 14:10,-77.033712,38.898573,48383
GKADHLQ5DZWNL,637558,7/26/18 15:30,7/26/18 15:35,-77.034729,38.884907,48384
GKADHLQ5DZWNL,637558,7/26/18 15:35,7/26/18 15:40,-77.03304,38.883118,48385
GKADHLQ5DZWNL,637558,7/26/18 15:50,7/26/18 15:55,-77.042442,38.883022,48386
GKADHLQ5DZWNL,637558,7/26/18 15:55,7/26/18 16:00,-77.044156,38.883887,48387
