id,plate,startts,endts,endlng,endlat,my_id
EDYEGRFKMGYWH,637299,7/26/18 11:10,7/26/18 11:15,-77.009282,38.872051,37250
EDYEGRFKMGYWH,637299,7/26/18 11:15,7/26/18 11:20,-77.005566,38.876285,37251
3LPKG7TWVEVC3,751583,7/26/18 11:40,7/26/18 11:45,-77.040472,38.904493,38294
3LPKG7TWVEVC3,751583,7/26/18 11:55,7/26/18 12:00,-77.041931,38.902196,38295
3LPKG7TWVEVC3,751583,7/26/18 12:15,7/26/18 12:20,-77.043523,38.906063,38296
3LPKG7TWVEVC3,751583,7/26/18 13:00,7/26/18 13:05,-77.005802,38.888733,38297
3LPKG7TWVEVC3,751583,7/26/18 13:05,7/26/18 13:10,-77.007648,38.887699,38298
3LPKG7TWVEVC3,751583,7/26/18 13:20,7/26/18 13:25,-77.01772,38.888936,38299
3LPKG7TWVEVC3,751583,7/26/18 13:35,7/26/18 13:40,-77.023335,38.891503,38300
3LPKG7TWVEVC3,751583,7/26/18 14:20,7/26/18 14:25,-77.021002,38.890468,38301
3LPKG7TWVEVC3,751583,7/26/18 14:25,7/26/18 14:30,-77.023816,38.890373,38302
3LPKG7TWVEVC3,751583,7/26/18 14:35,7/26/18 14:40,-77.039615,38.889919,38303
3LPKG7TWVEVC3,751583,7/26/18 14:45,7/26/18 14:50,-77.042261,38.889862,38304
3LPKG7TWVEVC3,751583,7/26/18 15:55,7/26/18 16:00,-77.036678,38.917127,38305
3LPKG7TWVEVC3,751583,7/26/18 16:30,7/26/18 16:35,-77.022141,38.911105,38306
3LPKG7TWVEVC3,751583,7/26/18 17:55,7/26/18 18:00,-77.005691,38.90433,38307
3LPKG7TWVEVC3,751583,7/26/18 18:25,7/26/18 18:30,-77.004492,38.903436,38308
PMIXQ6224D7MQ,453855,7/26/18 19:30,7/26/18 19:35,-77.04891,38.909451,38411
PMIXQ6224D7MQ,453855,7/26/18 19:35,7/26/18 19:40,-77.048204,38.914338,38412
