date,time
2018-11-09,18:07:48.5
2018-11-09,18:11:19
2018-11-09,18:22:48
2018-11-09,18:32:19.5
2018-11-09,18:42:20
2018-11-09,18:47:19
2018-11-09,18:57:19
2018-11-09,19h05
2018-11-09,19:16:20.5
2018-11-09,19h24
2018-11-09,19:39:20
2018-11-09,19:49:22
2018-11-09,19:56:19
2018-11-09,20:06:19
2018-11-09,20:13:18
2018-11-09,20:30:19
2018-11-09,20:31:18.5
2018-11-09,20:43:18
2018-11-09,20:54:18.5
